origen,destino,distancia_drive,tiempo_privado,n_drive,distancia_publico,tiempo_publico,n_publico,distancia_km,peso,trayecto,trayecto_id
"Estación de Atocha, Madrid","Aranjuez, Madrid",47.89,41.56595744680851,47,48.78945945945946,54.233783783783785,74,48.339729729729726,60.5,"Estación de Atocha, Madrid → Aranjuez, Madrid",44
"Estación de Atocha, Madrid",Toledo,73.34,56.172340425531914,47,78.30716216216216,76.0554054054054,74,75.82358108108107,60.5,"Estación de Atocha, Madrid → Toledo",45
"Estación de Atocha, Madrid",Segovia,99.76,72.9191489361702,47,87.54445945945946,93.83513513513513,74,93.65222972972973,60.5,"Estación de Atocha, Madrid → Segovia",46
"Estación de Atocha, Madrid",Ávila,117.1,79.75106382978724,47,135.97029411764706,139.98529411764707,68,126.53514705882353,57.5,"Estación de Atocha, Madrid → Ávila",47
"Estación de Atocha, Madrid",Ciudad Real,190.36999999999998,137.5531914893617,47,171.32,62.59864864864865,74,180.84499999999997,60.5,"Estación de Atocha, Madrid → Ciudad Real",48
"Estación de Atocha, Madrid",Cuenca,164.27,97.25106382978724,47,208.5014864864865,108.32027027027027,74,186.38574324324327,60.5,"Estación de Atocha, Madrid → Cuenca",49
"Estación de Chamartín, Madrid",Valladolid,208.61,136.94042553191488,47,180.04256756756757,79.84189189189189,74,194.3262837837838,60.5,"Estación de Chamartín, Madrid → Valladolid",50
"Estación de Chamartín, Madrid",Salamanca,214.75,136.08085106382978,47,265.1481081081081,184.77162162162162,74,239.94905405405405,60.5,"Estación de Chamartín, Madrid → Salamanca",51
"Estación de Chamartín, Madrid",Burgos,234.65000000000003,141.54468085106384,47,279.1183783783784,143.84729729729727,74,256.8841891891892,60.5,"Estación de Chamartín, Madrid → Burgos",52
"Estación de Atocha, Madrid","Zaragoza, España",314.08,192.46170212765958,47,302.75243243243244,116.00270270270269,74,308.4162162162162,60.5,"Estación de Atocha, Madrid → Zaragoza, España",53
"Estación de Atocha, Madrid",Córdoba,392.87,238.32765957446807,47,344.24756756756756,112.97702702702702,74,368.5587837837838,60.5,"Estación de Atocha, Madrid → Córdoba",54
"Estación de Atocha, Madrid","Valencia, España",355.0,216.46595744680852,47,398.4083783783784,159.21486486486486,74,376.7041891891892,60.5,"Estación de Atocha, Madrid → Valencia, España",55
"Estación de Chamartín, Madrid","Bilbao, España",387.98,234.61063829787236,47,370.87891891891894,296.7689189189189,74,379.4294594594595,60.5,"Estación de Chamartín, Madrid → Bilbao, España",56
"Estación de Chamartín, Madrid","San Sebastián, España",442.83,269.6936170212766,47,487.3775675675676,352.0567567567568,74,465.1037837837838,60.5,"Estación de Chamartín, Madrid → San Sebastián, España",57
"Estación de Atocha, Madrid","Sevilla, España",534.39,306.58085106382975,47,475.9923943661972,186.60281690140843,71,505.19119718309855,59.0,"Estación de Atocha, Madrid → Sevilla, España",58
"Estación de Atocha, Madrid","Málaga, España",533.33,316.9659574468085,47,513.8127027027027,229.6418918918919,74,523.5713513513514,60.5,"Estación de Atocha, Madrid → Málaga, España",59
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",613.8,363.92340425531916,47,606.7424324324325,231.95,74,610.2712162162162,60.5,"Estación de Atocha, Madrid → Barcelona Sants, Barcelona",60
