origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min,min_por_km
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,08:00,2026-02-27,568.33,324.5,,,0.5709710907395351
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,14:00,2026-02-27,22.39,28.1,,,1.25502456453774
"Móstoles, Madrid","Fuenlabrada, Madrid",TRANSIT,03:00,2026-02-27,40.95,81.7,,,1.9951159951159951
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,14:00,2026-02-27,21.54,53.5,,,2.4837511606313836
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,12:00,2026-02-27,24.25,60.3,,,2.48659793814433
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,10:00,2026-02-27,19.86,28.9,,,1.4551863041289024
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,10:00,2026-02-27,407.01,141.2,,,0.34692022309034176
"Estación de Atocha, Madrid",Córdoba,TRANSIT,19:00,2026-02-27,344.21,99.1,,,0.287905638999448
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,05:00,2026-02-27,15.75,36.6,,,2.323809523809524
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,07:00,2026-02-27,15.7,32.1,,,2.0445859872611467
"Estación de Chamartín, Madrid",Burgos,TRANSIT,07:00,2026-02-27,303.97,113.5,,,0.37339211106359177
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,12:00,2026-02-27,24.9,50.1,,,2.0120481927710845
"Retiro, Madrid","Leganés, Madrid",TRANSIT,09:00,2026-02-27,16.03,38.9,,,2.426699937616968
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,16:00,2026-02-27,483.63,299.5,,,0.6192750656493601
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,16:00,2026-02-27,22.68,65.6,,,2.892416225749559
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,20:00,2026-02-27,22.47,28.5,,,1.2683578104138853
"Estación de Atocha, Madrid",Ávila,TRANSIT,16:00,2026-02-27,128.24,129.2,,,1.0074859638178413
"Estación de Chamartín, Madrid",Burgos,TRANSIT,21:00,2026-02-27,216.1,182.7,,,0.8454419250347062
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,18:00,2026-02-27,351.29,342.1,,,0.9738392780893279
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,05:00,2026-02-27,21.36,53.8,,,2.5187265917602994
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,17:00,2026-02-27,42.2,95.8,,,2.2701421800947865
"Estación de Chamartín, Madrid",Burgos,TRANSIT,16:00,2026-02-27,303.97,120.5,,,0.39642069941112607
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,08:00,2026-02-27,24.63,43.5,,,1.7661388550548114
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,12:00,2026-02-27,306.89,107.1,,,0.34898497833099806
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,02:00,2026-02-27,15.73,51.6,,,3.280356007628735
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,08:00,2026-02-27,38.31,102.5,,,2.67554163403811
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,05:00,2026-02-27,33.22,42.2,,,1.2703190848886214
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,22:00,2026-02-27,27.9,82.1,,,2.942652329749104
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,15:00,2026-02-27,509.77,191.1,,,0.3748749436020166
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,18:00,2026-02-27,21.62,47.9,,,2.215541165587419
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,22:00,2026-02-27,22.27,81.9,,,3.6775931746744503
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,00:00 (+1d),2026-02-27,11.01,44.0,,,3.9963669391462306
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,23:00,2026-02-27,21.54,57.5,,,2.669452181987001
"Retiro, Madrid","Leganés, Madrid",TRANSIT,16:00,2026-02-27,16.96,40.6,,,2.3938679245283017
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,14:00,2026-02-27,407.01,144.2,,,0.3542910493599666
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,00:00 (+1d),2026-02-27,9.0,37.0,,,4.111111111111111
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,10:00,2026-02-27,470.81,169.8,,,0.36065504131178183
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,09:00,2026-02-27,509.77,194.1,,,0.38075995056594153
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,18:00,2026-02-27,12.18,15.0,,,1.2315270935960592
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,16:00,2026-02-27,406.67,139.2,,,0.3422922762928172
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,04:00,2026-02-27,17.66,57.9,,,3.278595696489241
"Móstoles, Madrid","Alcorcón, Madrid",TRANSIT,06:00,2026-02-27,8.38,23.7,,,2.8281622911694506
"Retiro, Madrid","Leganés, Madrid",TRANSIT,17:00,2026-02-27,16.94,43.0,,,2.538370720188902
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,18:00,2026-02-27,22.34,24.7,,,1.1056401074306177
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,18:00,2026-02-27,43.42,100.1,,,2.305389221556886
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,14:00,2026-02-27,22.49,59.0,,,2.6233881725211208
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,11:00,2026-02-27,625.94,209.9,,,0.33533565517461733
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,06:00,2026-02-27,14.73,44.7,,,3.034623217922607
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,20:00,2026-02-27,21.62,43.9,,,2.0305272895467157
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,08:00,2026-02-27,171.32,64.0,,,0.3735699276208265
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,11:00,2026-02-27,33.75,91.7,,,2.717037037037037
"Estación de Atocha, Madrid",Cuenca,TRANSIT,17:00,2026-02-27,212.36,114.2,,,0.5377660576379732
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,06:00,2026-02-27,16.1,31.5,,,1.9565217391304346
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,11:00,2026-02-27,572.19,383.1,,,0.6695328474807319
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,05:00,2026-02-27,41.17,96.7,,,2.3487976682050036
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,15:00,2026-02-27,306.89,101.1,,,0.3294339991527909
"Estación de Atocha, Madrid",Toledo,TRANSIT,07:00,2026-02-27,83.76,61.7,,,0.7366284622731614
"Estación de Chamartín, Madrid",Burgos,TRANSIT,19:00,2026-02-27,215.35,203.2,,,0.9435802182493614
"Estación de Atocha, Madrid",Segovia,TRANSIT,09:00,2026-02-27,82.79,120.3,,,1.4530740427587872
"Estación de Atocha, Madrid",Córdoba,TRANSIT,08:00,2026-02-27,344.21,117.0,,,0.3399087766189245
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,04:00,2026-02-27,24.73,50.5,,,2.0420541852001617
"Getafe, Madrid","Parla, Madrid",TRANSIT,04:00,2026-02-27,15.65,29.1,,,1.8594249201277955
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,19:00,2026-02-27,179.22,64.5,,,0.35989286909943086
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,14:00,2026-02-27,15.82,40.9,,,2.5853350189633373
"Estación de Atocha, Madrid",Córdoba,TRANSIT,14:00,2026-02-27,344.21,108.6,,,0.3155050695796171
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,08:00,2026-02-27,16.55,34.5,,,2.0845921450151055
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,23:00,2026-02-27,9.76,36.4,,,3.7295081967213113
"Retiro, Madrid","Getafe, Madrid",TRANSIT,22:00,2026-02-27,14.84,38.0,,,2.560646900269542
"Retiro, Madrid","Leganés, Madrid",TRANSIT,13:00,2026-02-27,16.58,39.0,,,2.3522316043425815
"Retiro, Madrid","Leganés, Madrid",TRANSIT,05:00,2026-02-27,16.26,47.1,,,2.8966789667896675
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,00:00 (+1d),2026-02-27,22.27,72.8,,,3.268971710821733
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,17:00,2026-02-27,17.78,44.2,,,2.485939257592801
"Estación de Atocha, Madrid",Segovia,TRANSIT,10:00,2026-02-27,81.26,78.5,,,0.9660349495446714
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,23:00,2026-02-27,15.65,32.7,,,2.089456869009585
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,01:00,2026-02-27,549.77,338.5,,,0.6157120250286484
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,04:00,2026-02-27,22.64,33.5,,,1.4796819787985864
"Estación de Atocha, Madrid",Segovia,TRANSIT,20:00,2026-02-27,109.23,123.6,,,1.131557264487778
"Retiro, Madrid","Getafe, Madrid",TRANSIT,18:00,2026-02-27,14.87,40.4,,,2.7168796234028245
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,05:00,2026-02-27,21.86,41.4,,,1.8938700823421775
"Retiro, Madrid","Getafe, Madrid",TRANSIT,17:00,2026-02-27,15.68,40.0,,,2.5510204081632653
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,02:00,2026-02-27,27.06,33.5,,,1.237989652623799
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,01:00,2026-02-27,10.88,25.8,,,2.3713235294117645
"Estación de Atocha, Madrid",Segovia,TRANSIT,06:00,2026-02-27,80.86,91.0,,,1.1254019292604502
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,02:00,2026-02-27,44.35,119.8,,,2.701240135287486
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,10:00,2026-02-27,14.43,25.5,,,1.7671517671517671
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,03:00,2026-02-27,48.17,48.6,,,1.0089267178741956
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,08:00,2026-02-27,22.39,25.1,,,1.1210361768646717
"Retiro, Madrid","Getafe, Madrid",TRANSIT,07:00,2026-02-27,14.48,37.8,,,2.6104972375690605
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,12:00,2026-02-27,9.76,31.8,,,3.2581967213114758
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,06:00,2026-02-27,9.76,33.7,,,3.4528688524590168
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,01:00,2026-02-27,27.76,62.3,,,2.244236311239193
"Estación de Atocha, Madrid",Córdoba,TRANSIT,01:00,2026-02-27,344.2,118.1,,,0.3431144683323649
"Estación de Atocha, Madrid",Toledo,TRANSIT,01:00,2026-02-27,68.33,95.3,,,1.3947021805941753
"Estación de Atocha, Madrid",Ávila,TRANSIT,06:00,2026-02-27,128.24,113.2,,,0.8827199001871491
"Estación de Atocha, Madrid",Toledo,TRANSIT,05:00,2026-02-27,83.88,58.4,,,0.6962327134000954
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,08:00,2026-02-27,471.37,188.0,,,0.39883743131722427
"Retiro, Madrid","Getafe, Madrid",TRANSIT,19:00,2026-02-27,14.87,39.1,,,2.629455279085407
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,20:00,2026-02-27,17.78,59.8,,,3.3633295838020243
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,08:00,2026-02-27,19.3,47.8,,,2.476683937823834
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,22:00,2026-02-27,19.68,46.6,,,2.367886178861789
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,03:00,2026-02-27,578.53,389.1,,,0.6725666776139527
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,01:00,2026-02-27,109.55,75.0,,,0.6846188954815153
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,08:00,2026-02-27,12.26,31.0,,,2.5285481239804244
"Estación de Atocha, Madrid",Cuenca,TRANSIT,20:00,2026-02-27,211.95,115.2,,,0.5435244161358811
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,13:00,2026-02-27,24.14,58.8,,,2.4357912178956087
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,21:00,2026-02-27,14.73,46.2,,,3.1364562118126273
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,06:00,2026-02-27,306.57,78.0,,,0.2544280262256581
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,17:00,2026-02-27,322.43,303.1,,,0.940049002884347
"Estación de Atocha, Madrid",Toledo,TRANSIT,21:00,2026-02-27,69.0,97.7,,,1.4159420289855074
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,01:00,2026-02-27,509.78,195.1,,,0.3827141119698694
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,22:00,2026-02-27,13.74,42.5,,,3.0931586608442503
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,21:00,2026-02-27,19.98,26.6,,,1.3313313313313313
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,07:00,2026-02-27,470.86,174.1,,,0.3697489699698424
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,14:00,2026-02-27,27.97,56.9,,,2.0343224883804076
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,10:00,2026-02-27,17.17,30.9,,,1.7996505532906228
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,13:00,2026-02-27,16.65,36.5,,,2.1921921921921923
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,15:00,2026-02-27,22.6,58.4,,,2.5840707964601766
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,09:00,2026-02-27,16.77,34.5,,,2.0572450805008944
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,08:00,2026-02-27,21.62,44.9,,,2.076780758556892
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,01:00,2026-02-27,4.45,18.2,,,4.0898876404494375
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,09:00,2026-02-27,16.55,31.5,,,1.903323262839879
