origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,00:00 (+1d),2026-02-27,15.24,35.5,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,00:00 (+1d),2026-02-27,2.17,15.2,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,00:00 (+1d),2026-02-27,9.0,37.0,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,00:00 (+1d),2026-02-27,7.87,34.9,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,00:00 (+1d),2026-02-27,11.23,40.0,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,00:00 (+1d),2026-02-27,6.61,55.0,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,00:00 (+1d),2026-02-27,4.57,20.5,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,00:00 (+1d),2026-02-27,4.4,21.4,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,00:00 (+1d),2026-02-27,11.01,44.0,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,00:00 (+1d),2026-02-27,12.29,20.7,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,00:00 (+1d),2026-02-27,7.44,33.8,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,00:00 (+1d),2026-02-27,11.55,55.7,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,00:00 (+1d),2026-02-27,21.62,48.6,,
"Retiro, Madrid","Getafe, Madrid",TRANSIT,00:00 (+1d),2026-02-27,15.87,51.8,,
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,00:00 (+1d),2026-02-27,33.79,88.1,,
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,00:00 (+1d),2026-02-27,52.61,77.3,,
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,00:00 (+1d),2026-02-27,19.44,57.0,,
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,00:00 (+1d),2026-02-27,29.32,95.5,,
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,00:00 (+1d),2026-02-27,29.04,72.6,,
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,00:00 (+1d),2026-02-27,19.74,34.4,,
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,00:00 (+1d),2026-02-27,23.1,41.2,,
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,00:00 (+1d),2026-02-27,22.25,67.9,,
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,00:00 (+1d),2026-02-27,15.65,36.9,,
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,00:00 (+1d),2026-02-27,26.67,47.4,,
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,00:00 (+1d),2026-02-27,10.62,24.4,,
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,00:00 (+1d),2026-02-27,22.27,72.8,,
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,00:00 (+1d),2026-02-27,18.44,95.8,,
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",TRANSIT,00:00 (+1d),2026-02-27,10.54,55.7,,
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,00:00 (+1d),2026-02-27,30.3,90.2,,
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,00:00 (+1d),2026-02-27,44.35,107.8,,
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,00:00 (+1d),2026-02-27,21.73,38.5,,
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,00:00 (+1d),2026-02-27,21.07,52.2,,
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,00:00 (+1d),2026-02-27,14.42,36.0,,
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,00:00 (+1d),2026-02-27,22.04,55.1,,
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,00:00 (+1d),2026-02-27,24.99,74.1,,
"Estación de Atocha, Madrid",Toledo,TRANSIT,00:00 (+1d),2026-02-27,70.52,134.7,,
"Estación de Atocha, Madrid",Segovia,TRANSIT,00:00 (+1d),2026-02-27,109.23,123.6,,
"Estación de Atocha, Madrid",Ávila,TRANSIT,00:00 (+1d),2026-02-27,128.24,117.2,,
"Estación de Atocha, Madrid",Cuenca,TRANSIT,00:00 (+1d),2026-02-27,211.95,115.2,,
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,00:00 (+1d),2026-02-27,179.22,72.5,,
"Estación de Chamartín, Madrid",Burgos,TRANSIT,00:00 (+1d),2026-02-27,303.97,121.5,,
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,00:00 (+1d),2026-02-27,185.37,211.8,,
"Estación de Atocha, Madrid",Córdoba,TRANSIT,00:00 (+1d),2026-02-27,344.2,118.1,,
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,00:00 (+1d),2026-02-27,171.32,58.1,,
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,00:00 (+1d),2026-02-27,607.34,183.1,,
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,00:00 (+1d),2026-02-27,407.01,151.2,,
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,00:00 (+1d),2026-02-27,470.82,173.1,,
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,00:00 (+1d),2026-02-27,306.89,108.1,,
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,00:00 (+1d),2026-02-27,463.04,459.9,,
