origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,08:00,2026-02-27,15.7,32.1,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,08:00,2026-02-27,2.49,11.2,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,08:00,2026-02-27,6.93,22.9,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,08:00,2026-02-27,6.48,22.4,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,08:00,2026-02-27,11.23,40.0,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,08:00,2026-02-27,12.06,64.5,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,08:00,2026-02-27,4.45,18.2,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,08:00,2026-02-27,4.56,25.0,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,08:00,2026-02-27,14.73,44.2,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,08:00,2026-02-27,12.29,20.7,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,08:00,2026-02-27,5.21,15.6,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,08:00,2026-02-27,8.02,50.9,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,08:00,2026-02-27,16.03,42.4,,
"Retiro, Madrid","Getafe, Madrid",TRANSIT,08:00,2026-02-27,14.87,40.7,,
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,08:00,2026-02-27,33.21,42.2,,
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,08:00,2026-02-27,48.17,48.6,,
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,08:00,2026-02-27,19.15,52.5,,
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,08:00,2026-02-27,26.41,58.4,,
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,08:00,2026-02-27,19.76,39.5,,
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,08:00,2026-02-27,21.62,44.9,,
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,08:00,2026-02-27,21.86,41.4,,
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,08:00,2026-02-27,20.65,26.6,,
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,08:00,2026-02-27,15.34,24.5,,
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,08:00,2026-02-27,22.64,33.5,,
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,08:00,2026-02-27,13.63,37.0,,
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,08:00,2026-02-27,17.78,61.3,,
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,08:00,2026-02-27,14.83,78.6,,
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",TRANSIT,08:00,2026-02-27,5.91,48.2,,
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,08:00,2026-02-27,38.31,102.5,,
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,08:00,2026-02-27,42.93,94.9,,
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,08:00,2026-02-27,19.3,47.8,,
"Puerta del Sol, Madrid","Leganés, Madrid",TRANSIT,08:00,2026-02-27,16.67,33.5,,
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,08:00,2026-02-27,15.41,26.5,,
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,08:00,2026-02-27,24.63,43.5,,
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,08:00,2026-02-27,16.55,34.5,,
"Estación de Atocha, Madrid",Toledo,TRANSIT,08:00,2026-02-27,83.88,51.4,,
"Estación de Atocha, Madrid",Segovia,TRANSIT,08:00,2026-02-27,81.9,82.5,,
"Estación de Atocha, Madrid",Ávila,TRANSIT,08:00,2026-02-27,129.29,145.9,,
"Estación de Atocha, Madrid",Cuenca,TRANSIT,08:00,2026-02-27,195.47,81.0,,
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,08:00,2026-02-27,179.22,69.5,,
"Estación de Chamartín, Madrid",Burgos,TRANSIT,08:00,2026-02-27,304.28,107.5,,
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,08:00,2026-02-27,185.73,201.9,,
"Estación de Atocha, Madrid",Córdoba,TRANSIT,08:00,2026-02-27,344.21,117.0,,
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,08:00,2026-02-27,171.32,64.0,,
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,08:00,2026-02-27,625.94,210.3,,
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,08:00,2026-02-27,406.73,147.6,,
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,08:00,2026-02-27,471.37,188.0,,
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,08:00,2026-02-27,306.53,98.6,,
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,08:00,2026-02-27,536.46,173.1,,
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,08:00,2026-02-27,326.28,317.8,,
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,08:00,2026-02-27,568.33,324.5,,
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,08:00,2026-02-27,10.37,9.0,,
"Móstoles, Madrid","Alcorcón, Madrid",TRANSIT,08:00,2026-02-27,8.38,23.7,,
"Móstoles, Madrid","Leganés, Madrid",TRANSIT,08:00,2026-02-27,13.27,26.2,,
"Móstoles, Madrid","Fuenlabrada, Madrid",TRANSIT,08:00,2026-02-27,10.65,46.2,,
"Getafe, Madrid","Parla, Madrid",TRANSIT,08:00,2026-02-27,9.03,20.8,,
"Getafe, Madrid","Leganés, Madrid",TRANSIT,08:00,2026-02-27,10.91,16.1,,
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,08:00,2026-02-27,12.26,31.0,,
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,08:00,2026-02-27,28.81,51.0,,
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,08:00,2026-02-27,22.39,25.1,,
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,08:00,2026-02-27,12.18,20.0,,
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,09:00,2026-02-27,20.96,25.8,25.3,-0.5
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",DRIVE,09:00,2026-02-27,3.71,15.1,14.4,-0.7
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",DRIVE,09:00,2026-02-27,18.03,27.1,25.9,-1.2
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",DRIVE,09:00,2026-02-27,12.59,26.6,25.0,-1.6
"Puerta del Sol, Madrid","Vallecas, Madrid",DRIVE,09:00,2026-02-27,18.78,22.6,22.3,-0.3
"Puerta del Sol, Madrid","Moncloa, Madrid",DRIVE,09:00,2026-02-27,11.92,20.5,19.5,-1.0
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",DRIVE,09:00,2026-02-27,6.51,21.9,22.6,0.7
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",DRIVE,09:00,2026-02-27,4.2,11.9,11.1,-0.8
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",DRIVE,09:00,2026-02-27,10.39,12.8,12.4,-0.4
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",DRIVE,09:00,2026-02-27,12.54,16.0,15.6,-0.4
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",DRIVE,09:00,2026-02-27,5.83,17.7,17.1,-0.6
"Retiro, Madrid","Ciudad Universitaria, Madrid",DRIVE,09:00,2026-02-27,8.78,22.4,20.4,-2.0
"Retiro, Madrid","Leganés, Madrid",DRIVE,09:00,2026-02-27,14.27,23.3,22.1,-1.2
"Retiro, Madrid","Getafe, Madrid",DRIVE,09:00,2026-02-27,14.99,25.4,23.9,-1.5
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",DRIVE,09:00,2026-02-27,33.74,31.6,29.9,-1.7
"Estación de Atocha, Madrid","Aranjuez, Madrid",DRIVE,09:00,2026-02-27,47.89,43.0,40.8,-2.2
"Estación de Atocha, Madrid","Alcobendas, Madrid",DRIVE,09:00,2026-02-27,18.7,19.5,18.3,-1.2
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",DRIVE,09:00,2026-02-27,25.2,27.3,25.6,-1.7
"Estación de Atocha, Madrid","Móstoles, Madrid",DRIVE,09:00,2026-02-27,25.18,30.6,29.0,-1.6
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",DRIVE,09:00,2026-02-27,22.96,27.1,26.0,-1.1
"Estación de Atocha, Madrid","Parla, Madrid",DRIVE,09:00,2026-02-27,24.36,29.1,27.2,-1.9
"Estación de Atocha, Madrid","Pinto, Madrid",DRIVE,09:00,2026-02-27,23.85,23.6,22.4,-1.2
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",DRIVE,09:00,2026-02-27,16.68,17.7,17.2,-0.5
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",DRIVE,09:00,2026-02-27,26.62,27.8,27.2,-0.6
"Estación de Chamartín, Madrid","Alcobendas, Madrid",DRIVE,09:00,2026-02-27,9.54,11.8,11.7,-0.1
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",DRIVE,09:00,2026-02-27,17.9,15.8,15.5,-0.3
"Moncloa, Madrid","Majadahonda, Madrid",DRIVE,09:00,2026-02-27,18.27,16.4,16.1,-0.3
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",DRIVE,09:00,2026-02-27,10.63,13.0,12.6,-0.4
"Moncloa, Madrid","Boadilla del Monte, Madrid",DRIVE,09:00,2026-02-27,20.84,19.4,18.9,-0.5
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",DRIVE,09:00,2026-02-27,34.15,29.0,28.1,-0.9
"Puerta del Sol, Madrid","Alcorcón, Madrid",DRIVE,09:00,2026-02-27,15.35,25.0,24.9,-0.1
